2026-09-10 15:38:32 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:32 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=07794616000120
2026-09-10 15:38:32 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=07794616000120 ERROS=0 AVISOS=0
2026-09-10 15:38:32 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo Central_22_05_2025.xlsx em modo incremental.
2026-09-10 15:38:32 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:32 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=30983948000175
2026-09-10 15:38:32 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=30983948000175 ERROS=0 AVISOS=0
2026-09-10 15:38:32 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo Czarnikow 27-01-2025.xlsx em modo incremental.
2026-09-10 15:38:32 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:32 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=07794616000120
2026-09-10 15:38:32 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=07794616000120 ERROS=0 AVISOS=0
2026-09-10 15:38:33 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo D3 Comercializadora_18.03.2024.xlsx em modo incremental.
2026-09-10 15:38:33 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:33 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=45836050000141
2026-09-10 15:38:33 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=45836050000141 ERROS=0 AVISOS=0
2026-09-10 15:38:33 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo DANSKE 10072025.xlsx em modo incremental.
2026-09-10 15:38:33 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:33 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=40382949000118
2026-09-10 15:38:33 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=40382949000118 ERROS=0 AVISOS=0
2026-09-10 15:38:33 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo DANSKE 12112024.xlsx em modo incremental.
2026-09-10 15:38:33 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:33 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=40382949000118
2026-09-10 15:38:33 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=40382949000118 ERROS=0 AVISOS=0
2026-09-10 15:38:34 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo DANSKE 27032026.xlsx em modo incremental.
2026-09-10 15:38:34 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:34 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=40382949000118
2026-09-10 15:38:34 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=40382949000118 ERROS=0 AVISOS=0
2026-09-10 15:38:34 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo DANSKE 30072026.xlsx em modo incremental.
2026-09-10 15:38:34 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:34 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=40382949000118
2026-09-10 15:38:34 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=40382949000118 ERROS=0 AVISOS=0
2026-09-10 15:38:34 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo DEAL 10_05_2022.xlsx em modo incremental.
2026-09-10 15:38:35 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
