2026-09-16 13:37:39 | INFO | bdc.consumidores | Iniciando processamento do arquivo Raízen Geo Biogás 13022025.xlsx em modo incremental.
2026-09-16 13:37:39 | INFO | bdc.consumidores | Extração competitiva: Vencedor padrao_1 identificado para Raízen Geo Biogás 13022025.xlsx.
2026-09-16 13:37:39 | INFO | bdc.consumidores | Registro normalizado (Entrada: 28, Saída: 30).
2026-09-16 13:37:39 | INFO | bdc.consumidores | Classificação documental para Raízen Geo Biogás 13022025.xlsx: tipo=>=5MWm analise=detalhada
2026-09-16 13:37:39 | INFO | bdc.consumidores | Iniciando validação unificada do registro. CNPJ=25201024000130
2026-09-16 13:37:39 | INFO | bdc.consumidores | Validação concluída. CNPJ=25201024000130 ERROS=0 AVISOS=1
2026-09-16 13:37:39 | INFO | bdc.consumidores | Validação condicional concluída para 25201024000130. Tipo=detalhada ERROS=2 AVISOS=2
2026-09-16 13:37:39 | INFO | bdc.consumidores | Ficha processada com sucesso: Raízen Geo Biogás 13022025.xlsx.
2026-09-16 13:37:39 | INFO | bdc.consumidores | Iniciando processamento do arquivo Rio de Janeiro Refrescos - Avaliação Middle.xlsx em modo incremental.
2026-09-16 13:37:39 | INFO | bdc.consumidores | Extração competitiva: Vencedor padrao_1 identificado para Rio de Janeiro Refrescos - Avaliação Middle.xlsx.
2026-09-16 13:37:39 | INFO | bdc.consumidores | Registro normalizado (Entrada: 28, Saída: 30).
2026-09-16 13:37:39 | INFO | bdc.consumidores | Classificação documental para Rio de Janeiro Refrescos - Avaliação Middle.xlsx: tipo=>=5MWm analise=detalhada
2026-09-16 13:37:39 | INFO | bdc.consumidores | Iniciando validação unificada do registro. CNPJ=00074569000100
2026-09-16 13:37:39 | INFO | bdc.consumidores | Validação concluída. CNPJ=00074569000100 ERROS=0 AVISOS=1
2026-09-16 13:37:39 | INFO | bdc.consumidores | Validação condicional concluída para 00074569000100. Tipo=detalhada ERROS=2 AVISOS=2
2026-09-16 13:37:39 | INFO | bdc.consumidores | Ficha processada com sucesso: Rio de Janeiro Refrescos - Avaliação Middle.xlsx.
2026-09-16 13:37:39 | INFO | bdc.consumidores | Iniciando processamento do arquivo Rio de Janeiro Refrescos 16102023.xlsx em modo incremental.
2026-09-16 13:37:39 | INFO | bdc.consumidores | Extração competitiva: Vencedor padrao_1 identificado para Rio de Janeiro Refrescos 16102023.xlsx.
2026-09-16 13:37:39 | INFO | bdc.consumidores | Registro normalizado (Entrada: 28, Saída: 30).
2026-09-16 13:37:39 | INFO | bdc.consumidores | Classificação documental para Rio de Janeiro Refrescos 16102023.xlsx: tipo=>=5MWm analise=detalhada
2026-09-16 13:37:39 | INFO | bdc.consumidores | Iniciando validação unificada do registro. CNPJ=00074569000100
2026-09-16 13:37:39 | INFO | bdc.consumidores | Validação concluída. CNPJ=00074569000100 ERROS=0 AVISOS=1
2026-09-16 13:37:39 | INFO | bdc.consumidores | Validação condicional concluída para 00074569000100. Tipo=detalhada ERROS=2 AVISOS=2
2026-09-16 13:37:39 | INFO | bdc.consumidores | Ficha processada com sucesso: Rio de Janeiro Refrescos 16102023.xlsx.
2026-09-16 13:37:39 | INFO | bdc.consumidores | Iniciando processamento do arquivo SABESP 23062026.xlsx em modo incremental.
2026-09-16 13:37:39 | INFO | bdc.consumidores | Extração competitiva: Vencedor padrao_1 identificado para SABESP 23062026.xlsx.
2026-09-16 13:37:39 | INFO | bdc.consumidores | Registro normalizado (Entrada: 28, Saída: 30).
2026-09-16 13:37:39 | INFO | bdc.consumidores | Classificação documental para SABESP 23062026.xlsx: tipo=<5MWm analise=simplificada
2026-09-16 13:37:39 | INFO | bdc.consumidores | Iniciando validação unificada do registro. CNPJ=None
2026-09-16 13:37:39 | INFO | bdc.consumidores | Validação concluída. CNPJ=None ERROS=3 AVISOS=0
2026-09-16 13:37:39 | WARNING | bdc.consumidores | Erros de validação para CNPJ=None: ['GATE_ENGINE ausente: CNPJ', 'GATE_ENGINE ausente: EMPRESA', 'GATE_ENGINE ausente: DATA_DEMONSTRACAO_FINANCEIRA']
2026-09-16 13:37:39 | INFO | bdc.consumidores | Validação condicional concluída para None. Tipo=simplificada ERROS=4 AVISOS=1
2026-09-16 13:37:39 | INFO | bdc.consumidores | Iniciando processamento do arquivo SABESP RATING 10112025.xlsx em modo incremental.
2026-09-16 13:37:39 | INFO | bdc.consumidores | Extração competitiva: Vencedor padrao_1 identificado para SABESP RATING 10112025.xlsx.
2026-09-16 13:37:39 | INFO | bdc.consumidores | Registro normalizado (Entrada: 28, Saída: 30).
2026-09-16 13:37:39 | INFO | bdc.consumidores | Classificação documental para SABESP RATING 10112025.xlsx: tipo=<5MWm analise=simplificada
2026-09-16 13:37:39 | INFO | bdc.consumidores | Iniciando validação unificada do registro. CNPJ=None
2026-09-16 13:37:39 | INFO | bdc.consumidores | Validação concluída. CNPJ=None ERROS=3 AVISOS=0
2026-09-16 13:37:39 | WARNING | bdc.consumidores | Erros de validação para CNPJ=None: ['GATE_ENGINE ausente: CNPJ', 'GATE_ENGINE ausente: EMPRESA', 'GATE_ENGINE ausente: DATA_DEMONSTRACAO_FINANCEIRA']
2026-09-16 13:37:39 | INFO | bdc.consumidores | Validação condicional concluída para None. Tipo=simplificada ERROS=4 AVISOS=1
2026-09-16 13:37:39 | INFO | bdc.consumidores | Iniciando processamento do arquivo SABESP_27052025.xlsx em modo incremental.
2026-09-16 13:37:39 | INFO | bdc.consumidores | Extração competitiva: Vencedor padrao_1 identificado para SABESP_27052025.xlsx.
2026-09-16 13:37:39 | INFO | bdc.consumidores | Registro normalizado (Entrada: 28, Saída: 30).
2026-09-16 13:37:39 | INFO | bdc.consumidores | Classificação documental para SABESP_27052025.xlsx: tipo=>=5MWm analise=detalhada
2026-09-16 13:37:39 | INFO | bdc.consumidores | Iniciando validação unificada do registro. CNPJ=43776517000180
2026-09-16 13:37:39 | INFO | bdc.consumidores | Validação concluída. CNPJ=43776517000180 ERROS=1 AVISOS=1
2026-09-16 13:37:39 | WARNING | bdc.consumidores | Erros de validação para CNPJ=43776517000180: ['GATE_ENGINE ausente: EMPRESA']
2026-09-16 13:37:39 | INFO | bdc.consumidores | Validação condicional concluída para 43776517000180. Tipo=detalhada ERROS=3 AVISOS=2
2026-09-16 13:37:39 | INFO | bdc.consumidores | Iniciando processamento do arquivo SALOBO METAIS 20082026.xlsx em modo incremental.
2026-09-16 13:37:39 | INFO | bdc.consumidores | Extração competitiva: Vencedor padrao_2 identificado para SALOBO METAIS 20082026.xlsx.
2026-09-16 13:37:39 | INFO | bdc.consumidores | Registro normalizado (Entrada: 28, Saída: 30).
2026-09-16 13:37:39 | INFO | bdc.consumidores | Classificação documental para SALOBO METAIS 20082026.xlsx: tipo=<5MWm analise=simplificada
2026-09-16 13:37:39 | INFO | bdc.consumidores | Iniciando validação unificada do registro. CNPJ=33931478000194
2026-09-16 13:37:39 | INFO | bdc.consumidores | Validação concluída. CNPJ=33931478000194 ERROS=0 AVISOS=0
2026-09-16 13:37:39 | INFO | bdc.consumidores | Validação condicional concluída para 33931478000194. Tipo=simplificada ERROS=1 AVISOS=1
2026-09-16 13:37:39 | INFO | bdc.consumidores | Ficha processada com sucesso: SALOBO METAIS 20082026.xlsx.
2026-09-16 13:37:39 | INFO | bdc.consumidores | Iniciando processamento do arquivo SALOBO METAIS 28072025.xlsx em modo incremental.
2026-09-16 13:37:39 | INFO | bdc.consumidores | Extração competitiva: Vencedor padrao_1 identificado para SALOBO METAIS 28072025.xlsx.
2026-09-16 13:37:40 | INFO | bdc.consumidores | Registro normalizado (Entrada: 28, Saída: 30).
2026-09-16 13:37:40 | INFO | bdc.consumidores | Classificação documental para SALOBO METAIS 28072025.xlsx: tipo=>=5MWm analise=detalhada
2026-09-16 13:37:40 | INFO | bdc.consumidores | Iniciando validação unificada do registro. CNPJ=33931478000194
2026-09-16 13:37:40 | INFO | bdc.consumidores | Validação concluída. CNPJ=33931478000194 ERROS=0 AVISOS=0
2026-09-16 13:37:40 | INFO | bdc.consumidores | Validação condicional concluída para 33931478000194. Tipo=detalhada ERROS=2 AVISOS=1
2026-09-16 13:37:40 | INFO | bdc.consumidores | Ficha processada com sucesso: SALOBO METAIS 28072025.xlsx.
2026-09-16 13:37:40 | INFO | bdc.consumidores | Iniciando processamento do arquivo SALOBO METAIS RATING 12112025.xlsx em modo incremental.
2026-09-16 13:37:40 | INFO | bdc.consumidores | Extração competitiva: Vencedor padrao_2 identificado para SALOBO METAIS RATING 12112025.xlsx.
2026-09-16 13:37:40 | INFO | bdc.consumidores | Registro normalizado (Entrada: 28, Saída: 30).
