2026-09-10 15:45:43 | WARNING | bdc.gold.fato_analise_credito | Cálculo CPURA suspenso por Falha Segura. Rating nulo. CNPJ=04518259000180
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=04518259000180 SEGMENTO_PD=CPURA
2026-09-10 15:45:43 | WARNING | bdc.gold.fato_analise_credito | Cálculo CPURA suspenso por Falha Segura. Rating nulo. CNPJ=04518259000180
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=04518259000180 SEGMENTO_PD=CPURA
2026-09-10 15:45:43 | WARNING | bdc.gold.fato_analise_credito | Cálculo CPURA suspenso por Falha Segura. Rating nulo. CNPJ=04518259000180
2026-09-10 15:45:43 | WARNING | bdc.gold.fato_analise_credito | [CNPJ: 04591168000170] Falha no cálculo (Insumo Inválido): Comercializadora sem TIPO_COMERCIALIZADORA válido.
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD ajustada. CNPJ=04755710000182 SEGMENTO_PD=CPURA
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo das notas quantitativas CPURA. CNPJ=04755710000182
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Notas quantitativas CPURA calculadas. CNPJ=04755710000182 NOTA_PD=A NOTA_FCO_ROL=E NOTA_ROE=A NOTA_ROA=A
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando score qualitativo CPURA. CNPJ=04755710000182
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Score qualitativo CPURA calculado. CNPJ=04755710000182 SCORE_QUALITATIVO=2.2
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando score quantitativo CPURA. CNPJ=04755710000182
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Score quantitativo CPURA calculado. CNPJ=04755710000182 SCORE_QUANTITATIVO=4.62
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Score total CPURA calculado. SCORE_TOTAL=6.82
2026-09-10 15:45:43 | INFO | bdc.gold.fato_analise_credito | Iniciando cálculo de PD final CPURA. CNPJ=04755710000182 rating=C pd_min=0.0076 pd_max=0.0417
